CategoryId,Category,Parent-Category
514,Love Hyd - Vizag Mugs,Coasters & Table Mats
3,Incense Sticks,Coasters & Table Mats
515,Lingo Series Mugs,Coasters & Table Mats
4,Incense Cones,Coasters & Table Mats
6,Wallet,Coasters & Table Mats
7,Card Holder,Coasters & Table Mats
8,Card Case,Coasters & Table Mats
520,Botanical,Coasters & Table Mats
9,Passport Holder,Coasters & Table Mats
10,Mini Passport Holder,Coasters & Table Mats
12,Cheque Book Holder,Coasters & Table Mats
13,Laptop Sleeve,Coasters & Table Mats
15,Pens,Stationery
16,Diaries & Notebooks,Stationery
18,Cushion Cover,Furnishings
280,Gond Art,Furnishings
28,Stoles & Scarfs,Furnishings
35,Candle Holder,Furnishings
547,Contemporary Abstract Prints,Art Prints
37,Clock,Art Prints
549,Alphabets,Art Prints
551,Alcohol,Art Prints
552,Bicycle,Art Prints
553,Coffee,Art Prints
554,Beer,Art Prints
555,Fashion,Art Prints
556,Car,Art Prints
557,Tea,Art Prints
558,Moulin Rouge,Art Prints
559,Modern Prints - Set,Art Prints
560,Architectural,Coasters & Table Mats
561,Art,Coasters & Table Mats
562,Pattern,Coasters & Table Mats
308,297,Coasters & Table Mats
54,Pouch,Coasters & Table Mats
311,296,Coasters & Table Mats
312,282,Coasters & Table Mats
313,298,Coasters & Table Mats
314,169,Coasters & Table Mats
315,239,Coasters & Table Mats
316,299,Coasters & Table Mats
317,295,Coasters & Table Mats
318,304,Coasters & Table Mats
578,Kalighat Prints,Fine Art Prints
67,Coffee,Fine Art Prints
68,Black Tea,Fine Art Prints
580,Love Hyderabad,Coasters & Table Mats
69,Herb Tea,Coasters & Table Mats
581,Lingo Series,Coasters & Table Mats
70,Green Tea,Coasters & Table Mats
71,Early Grey Tea,Coasters & Table Mats
583,Illustrations,Coasters & Table Mats
73,Oolong Tea,Coasters & Table Mats
75,White Tea,Coasters & Table Mats
76,Tea Collection,Coasters & Table Mats
596,Zodiac Sign Prints,Vintage Lithographs
94,BAGS,Vintage Lithographs
98,Sling Wallet,Vintage Lithographs
610,Delhi Series,Caricature Prints
100,Cyanotype Prints,Caricature Prints
101,Others 1,Caricature Prints
617,Painting Prints,Fine Art Prints
363,Landscape or Seascape Paintings,Fine Art Prints
364,Still Life Painting,Fine Art Prints
365,Religious or Spiritual Paintings,Fine Art Prints
366,Pop Art,Fine Art Prints
367,Abstract Paintings,Fine Art Prints
368,Portrait Painting,Fine Art Prints
113,Bracelets,Fine Art Prints
369,Mural Painting,Fine Art Prints
114,Cuff Link,Fine Art Prints
370,Installations,Fine Art Prints
115,Bangles,Fine Art Prints
371,Cityscape,Fine Art Prints
116,Necklace,Fine Art Prints
372,Animals Birds and Nature,Fine Art Prints
117,Key Chain,Fine Art Prints
373,Figurative,Fine Art Prints
629,Cherial Plates,Fine Art Prints
119,Luggage Tag,Fine Art Prints
120,Finger Rings,Fine Art Prints
376,Boxes,Fine Art Prints
377,Boxes,Fine Art Prints
122,Ear rings,Fine Art Prints
123,Ear Cuffs,Fine Art Prints
380,Cheriyal Plates,Fine Art Prints
381,Pitchwai Style,Fine Art Prints
127,Ear top,Fine Art Prints
639,Windows to the Gods,Decorative Plates
128,Ear Stud,Decorative Plates
129,Straw,Decorative Plates
641,Vintage Photos & Maps Plates,Decorative Plates
642,Caricature Plates,Decorative Plates
644,Showcase Products,Filters
645,Filters,Filters
646,Area By Space,Filters
391,Hyderabad / Secunderabad / Cyberabad,Filters
647,Occasion,Filters
136,Maha Raja Prints,Filters
648,Art for Office Spaces,Filters
137,Nostalgia Prints,Filters
649,Art for Residences,Filters
138,MahaRaja Frames,Filters
650,Art for Hotels,Filters
139,Brooch,Filters
651,Art for Restaurants & Cafe,Filters
140,Jhumka,Filters
652,Art by Theme,Filters
141,hansli,Filters
142,CHain,Filters
143,Pendant,Filters
144,Ring,Filters
400,Set of Religious or Spiritual Prints,Filters
656,Pitchwai,Traditional Art
401,Set of Misc Prints,Traditional Art
657,Phad Art,Traditional Art
147,Prints,Traditional Art
149,Frames,Traditional Art
662,Bidri,Traditional Craft
151,Photo frames,Traditional Craft
663,Oriental Landscapes,Vintage Lithographs
664,Tantrik Art,Traditional Art
153,T - Shirts,Traditional Art
665,Water colour,Original Paintings
667,Paintings,Vintage Art
668,Indian Art,Art Prints
670,Hyderabad  Secunderabad  Cyberabad Maps,Modern Maps
675,Botanical & Zoological,Vintage Lithographs
433,Hollywood,Vintage Lithographs
434,Bollywood,Vintage Lithographs
435,Travel,Vintage Lithographs
436,Raja Ravi Varma,Vintage Lithographs
437,Embalished,Raja Ravi Varma
438,Normal,Raja Ravi Varma
448,Art Exhibition Catalogues,
449,Cultural Festival Catalogues,
460,Vintage Photographs,Coasters & Table Mats
461,Vintage Maps,Coasters & Table Mats
462,Lingo Series,Coasters & Table Mats
464,Modern Digital Prints,Coasters & Table Mats
465,Modern Maps,Coasters & Table Mats
466,Zoological,Coasters & Table Mats
467,Astronomy,Coasters & Table Mats
469,Caricature,Coasters & Table Mats
470,Vintage Artifacts,Coasters & Table Mats
472,Hyderabad,Coasters & Table Mats
498,Ceramic Plates,Coasters & Table Mats
499,Clocks,Coasters & Table Mats
250,Cheriyal,Coasters & Table Mats
251,Pattachitra,Coasters & Table Mats
507,Coaster,Coasters & Table Mats
252,Kalighat Painting or Bengal Painting,Coasters & Table Mats
253,Warli Paintings,Coasters & Table Mats
511,Themes,Coasters & Table Mats
257,Vintage Travel Series,Vintage Poster
537,Devanagiri  Series,Vintage Poster
320,Vintage Photograph,Vintage Poster
321,Hyderabad,Vintage Photograph
590,Incense Stick,Vintage Photograph
349,City Map Prints,Vintage Map
230,Paintings,Vintage Map
486,Coffee,Vintage Map
505,Hyderabad Series,Caricature Prints
261,Pencil & Charcoal,Caricature Prints
575,Airavata,Caricature Prints
322,Bombay,Vintage Photograph
586,Incense Cones,Vintage Photograph
618,Vintage Patent Posters,Vintage Poster
388,Art Prints,Vintage Poster
193,Indian Sub-Continent,Vintage Map
504,Kolkata Series,Caricature Prints
576,Pichwai,Caricature Prints
323,Calcutta,Vintage Photograph
348,Asia Map Prints,Vintage Map
166,Vintage Map,Vintage Map
484,Beer,Vintage Map
536,Shores of Persia,Vintage Map
324,Delhi,Vintage Photograph
347,World Map Prints,Vintage Map
485,Whiskey,Vintage Map
503,Caricature Prints,Vintage Map
538,Spring in Udaipur,Vintage Map
325,Madras,Vintage Photograph
346,Pilgrimage Map Prints,Vintage Map
654,Traditional Art,Vintage Map
655,Original Paintings,Vintage Map
492,Wine,Vintage Map
326,Bangalore / Mysore,Vintage Photograph
582,Jyamiti,Vintage Photograph
481,Bath Room,Vintage Photograph
540,Banara,Vintage Photograph
305,Art Prints - Limited Edition,Vintage Photograph
615,Royalty,Vintage Photograph
483,Kitchen,Vintage Photograph
539,Indira,Vintage Photograph
353,Vintage Poster,Vintage Photograph
487,Music,Vintage Photograph
541,The Lotus at Fathepur,Vintage Photograph
459,Coasters & Table Mats,Vintage Photograph
502,Harley Davidson,Vintage Photograph
542,Jodhpur Evenings,Vintage Photograph
622,Lucknow / Kanpur,Vintage Photograph
633,Decorative Plates,Vintage Photograph
543,The Mughal Garden,Vintage Photograph
623,Agra,Vintage Photograph
658,Metallic Devotions,Vintage Photograph
480,Airplane,Vintage Photograph
625,Varanasi / Banaras,Vintage Photograph
661,Traditional Craft,Vintage Photograph
482,Sailing,Vintage Photograph
501,Star Wars,Vintage Photograph
488,Typewriter,Vintage Photograph
624,Other Cities,Vintage Photograph
493,Ophthalmologist,Vintage Photograph
494,Medical Drug,Vintage Photograph
491,Medicine,Vintage Photograph
14,Stationery,Vintage Photograph
350,Vintage Lithographs,Vintage Photograph
669,Modern Maps,Vintage Photograph
671,Religious Prints,Art Prints
176,Furnishings,Art Prints
358,Fine Art Prints,Art Prints
676,Love Hyderabad and Lingo Series,Art Prints
611,Miniatures,Art Prints
666,Vintage Art,Art Prints